序号,企业名称,社会信用代码,来源,特殊备注,类别1,细分类别1,类别2,细分类别2,类别3,细分类别3,是否综合,专精特新,高新技术企业,独角兽企业,瞪羚企业,上市企业,主要数据产品或服务,经营状态,成立日期,注册资本,实缴资本,城市,区县,参保人数,规模,企业简介,国标门类,国标大类,国标中类,国标小类
13853,南京韵力恒网络科技有限公司,91320104339279709Y,自有规上,,数据技术企业,数据加工分析技术企业,,,,,,,,,,,,在业,2015-05-27,100万元,50万元,南京市,秦淮区,6,XS(微型),南京韵力恒网络科技有限公司成立于2015-05-27，法定代表人为朱建池，注册资本为100万元，统一社会信用代码为91320104339279709Y，企业注册地址位于南京市秦淮区莫愁路329号37号楼，所属行业为科技推广和应用服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；网络技术服务；信息技术咨询服务；计算机软硬件及辅助设备零售；通讯设备销售；动漫游戏开发；专业设计服务；软件开发；数字文化创意软件开发；数据处理服务；广告发布；互联网销售（除销售需要许可的商品）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,-
1091,常州市凌越信息技术服务有限公司,91320411MA27TQ831E,入库,,数据服务企业,,,,,,,,,,,,,存续,2022-09-29,1000万元,1000万元,常州市,新北区,264,M(中型),"常州市凌越信息技术服务有限公司成立于2022年9月29日，法定代表人刘兵，公司位于江苏省常州市新北区。作为一家信息技术服务企业，公司主要提供信息技术咨询服务、信息咨询服务和计算机系统服务。公司开发的软件包括智能物流管理系统、eBay运营ERP系统、出口报关管理系统和产品上架风控管理系统，这些产品体现了公司在信息技术服务领域的专业能力。
常州市凌越信息技术服务有限公司于2024年获得省级技术先进型服务企业称号。该公司依托长三角地区的产业集聚效应，通过跨境电商平台拓展国际市场，在跨境服务领域展现出较强的适应性。信息技术服务行业正经历数字化转型，该公司开发的智能物流管理系统等产品符合行业技术升级趋势。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,科技推广和应用服务业,-,-
4763,数链云（苏州）区块链科技有限公司,91320507MAD9GJ307E,新增导入,区块链,数据基础设施企业,数据存算设施,,,,,,,,,,,,存续,2023-12-27,200万元,-,苏州市,相城区,0,S(小型),数链云（苏州）区块链科技有限公司成立于2023-12-27，法定代表人为林仲霆，注册资本为200万元，统一社会信用代码为91320507MAD9GJ307E，企业注册地址位于江苏省苏州市相城区黄埭镇太东路2555号苏鑫11号厂房252室，所属行业为科技推广和应用服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；区块链技术相关软件和服务；大数据服务；数字文化创意内容应用服务；接受金融机构委托从事信息技术和流程外包服务（不含金融信息服务）；数字文化创意软件开发；数字内容制作服务（不含出版发行）；数字文化创意技术装备销售；社会经济咨询服务；票据信息咨询服务；融资咨询服务；以自有资金从事投资活动；互联网数据服务；数据处理和存储支持服务；信息安全设备销售；网络与信息安全软件开发；物联网技术服务；互联网销售（除销售需要许可的商品）；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；云计算设备销售；物联网应用服务；信息系统运行维护服务；信息系统集成服务；信息技术咨询服务；货物进出口；技术进出口；进出口代理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务
32219,南大盐城环境工程有限公司,913209025985636752,规上,,数据资源企业,,,,,,,,,,,,,在业,2012-06-15,5008万元,1550万元,盐城市,亭湖区,54,S(小型),"南大盐城环境工程有限公司成立于2012年，法定代表人周洪林，位于江苏省盐城市亭湖区。公司专注于环保工程施工、环保工程设计和环保技术开发领域，拥有特种设备安装改造修理许可证、特种设备制造许可证等多项专业资质。公司在环保技术领域开发了包括氧化水回流循环的湿式氧化装置、一体式循环芬顿流化床等多项专利技术，并开发了环保工程施工维护保养系统、质量评价分析软件等专业工具，形成了系统的环保工程解决方案能力。
南大盐城环境工程有限公司近年获得国家级高新技术企业、省级产学研合作项目等荣誉。公司在环保工程领域持续获得政策支持，依托江苏省盐城市的区位优势，在环保技术研发和工程应用方面形成特色。通过产学研合作模式，该公司在湿式氧化、芬顿流化床等专利技术应用方面取得进展，其开发的环保工程维护系统提升了项目质量管理能力。
以上内容由AI生成，仅供参考，请注意甄别。",建筑业,土木工程建筑业,节能环保工程施工,环保工程施工
20438,苏州星芒网络科技有限公司,91320509MABTTXXM1E,填报,,数据应用企业,,,,,,,,,,,,,存续,2022-07-12,100万元,-,苏州市,吴江区,0,XS(微型),苏州星芒网络科技有限公司成立于2022-07-12，法定代表人为钱登阶，注册资本为100万元，统一社会信用代码为91320509MABTTXXM1E，企业注册地址位于江苏省苏州市吴江区平望镇中鲈村太浦河北岸富生石油东侧运浦拾光1-308室，所属行业为专业技术服务业，经营范围包含：许可项目：第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；计算机软硬件及辅助设备零售；云计算装备技术服务；软件开发；网络技术服务；信息技术咨询服务；互联网安全服务；大数据服务；数据处理和存储支持服务；互联网数据服务；办公服务；市场调查（不含涉外调查）；信息咨询服务（不含许可类信息咨询服务）；个人商务服务；互联网销售（除销售需要许可的商品）；软件销售；软件外包服务；电子产品销售；人工智能基础软件开发；人工智能应用软件开发；计算机系统服务；广告设计、代理；广告发布；广告制作；平面设计（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,专业技术服务业,-,-
28070,无锡智泉科技有限公司,913202135570746058,规上,,数据技术企业,,,,,,,,,,,,,在业,2010-06-04,2500万元,2500万元,无锡市,新吴区,29,S(小型),"无锡智泉科技有限公司成立于2010年6月，法定代表人丁古荣，位于江苏省无锡市新吴区。公司专注于技术服务领域，拥有多项电梯相关专利技术，包括非介入式电梯楼层检测方法、基于NB通信的电梯维修告示牌等。在软件方面，公司开发了移动安防监控与远程指挥系统、电梯维保合同智能存储系统等专业软件。公司持有建筑业企业资质证书、特种设备安装改造修理许可证等专业资质，业务覆盖电梯运维监管、安防工程等领域。
无锡智泉科技有限公司在2025年获得省级专精特新中小企业、国家级科技型中小企业和省级创新型中小企业称号。该公司在电梯运维监管领域拥有多项专利技术，包括非介入式电梯楼层检测方法和基于NB通信的电梯维修告示牌等。江苏省市场监管部门通过大数据分析提升电梯监管效率，为无锡智泉科技提供了良好的政策与技术支持环境。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展
19099,南京图睿达土地规划咨询有限公司,91320104MA1MQ69L6X,填报,,数据服务企业,,,,,,,,,,,,,存续,2016-07-20,100万元,100万元,南京市,秦淮区,2,XS(微型),南京图睿达土地规划咨询有限公司成立于2016-07-20，法定代表人为甘莉莉，注册资本为100万元，统一社会信用代码为91320104MA1MQ69L6X，企业注册地址位于南京市秦淮区莫愁路329号，所属行业为商务服务业，经营范围包含：土地规划咨询；工程测量服务；工程项目管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为存续。,租赁和商务服务业,商务服务业,咨询与调查,-
20869,江苏宇之舟软件科技有限公司,91320206MA213X8RXW,填报,,数据技术企业,,,,,,,,,,,,,在业,2020-03-27,1000万元,-,无锡市,惠山区,0,XS(微型),"江苏宇之舟软件科技有限公司成立于2020-03-27，法定代表人为陈静，注册资本为1000万元，统一社会信用代码为91320206MA213X8RXW，企业注册地址位于无锡惠山经济开发区智慧路18号505室，所属行业为软件和信息技术服务业，经营范围包含：许可项目：艺术品进出口；货物进出口；技术进出口；进出口代理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：软件外包服务；人工智能基础软件开发；人工智能应用软件开发；网络与信息安全软件开发；云计算设备销售；互联网数据服务；信息系统集成服务；人工智能行业应用系统；大数据服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；电子元器件零售；机械设备销售；电气机械设备销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,基础软件开发
31975,淮安市东旭达五金粘胶制品有限公司,91320891355020131R,规上,,数据应用企业,,,,,,,,,,,,,在业,2015-09-24,2000万元,370万元,淮安市,淮安经济技术开发区,155,S(小型),"淮安市东旭达五金粘胶制品有限公司成立于2015年9月24日，法定代表人钟仁东，位于江苏省淮安市淮安经济技术开发区。公司专注于粘胶制品、五金制品及电力电子元器件的制造，拥有多项技术专利，包括钢片淋涂装置、钢片冲压装置等生产设备相关发明。企业通过持续的工艺创新提升产品制造效率和质量控制水平。
淮安市东旭达五金粘胶制品有限公司作为2025年国家级科技型中小企业和2023年国家级高新技术企业，在技术创新方面获得认可。该公司所处的胶粘带行业近年来保持稳定增长，2024年总产量达432.2亿平方米，同比增长8.54%，行业整体呈现健康向上发展态势。在五金制品领域，虽然行业整体面临建筑市场低迷的挑战，但该公司通过技术专利和工艺创新保持竞争力。依托江苏省淮安经济技术开发区的区位优势，该公司在粘胶制品和五金制品的研发制造领域持续深耕。
以上内容由AI生成，仅供参考，请注意甄别。",制造业,其他制造业,其他未列明制造业,其他未列明制造业
2120,北宸控股（南京）有限公司,91320115MA22N99P44,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,在业,2020-10-14,500万元,-,南京市,江宁区,0,XS(微型),"北宸控股（南京）有限公司成立于2020-10-14，法定代表人为张吉超，注册资本为500万元，统一社会信用代码为91320115MA22N99P44，企业注册地址位于南京市江宁区秣陵街道梅林街11号4号楼3层309（江宁开发区），所属行业为商务服务业，经营范围包含：许可项目：网络预约出租汽车经营服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：汽车租赁；以自有资金从事投资活动；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；企业形象策划；信息咨询服务（不含许可类信息咨询服务）；票务代理服务；汽车零配件零售；物联网应用服务；会议及展览服务；礼仪服务；停车场服务；汽车新车销售；汽车旧车销售；软件开发（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理
24731,南京先维信息技术有限公司,913201040802849469,规上,,数据技术企业,,,,,,,,,,,,,存续,2013-11-08,5000万元,1020万元,南京市,浦口区,51,M(中型),"南京先维信息技术有限公司成立于2013年，法定代表人葛俊海。公司是一家信息技术服务提供商，拥有大数据、多媒体、人工智能、协同信息化、网络安全等领域的核心技术，主要服务于政府、金融、公安、传媒、电力等行业。
南京先维信息技术有限公司近年来获得国家级专精特新“小巨人”企业、省级瞪羚企业和省级企业技术中心等多项荣誉。作为南京软件产业的重要参与者，该公司依托当地信创产业政策和软件谷、江北新区等产业集聚区优势，在政务数字化和工业智能化领域提供技术解决方案。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务
6393,无锡鲸幻科技有限公司,91320214MA1YH3AR5M,新增导入,区块链,数据基础设施企业,数据存算设施,,,,,,,,,,,,在业,2019-06-05,100万元,-,无锡市,滨湖区,2,XS(微型),无锡鲸幻科技有限公司成立于2019-06-05，法定代表人为毕焱昊，注册资本为100万元，统一社会信用代码为91320214MA1YH3AR5M，企业注册地址位于无锡市高浪东路999号启航大厦3层316室，所属行业为研究和试验发展，经营范围包含：一般项目：区块链技术相关软件和服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；人工智能应用软件开发；信息咨询服务（不含许可类信息咨询服务）；软件开发；软件销售；计算机软硬件及辅助设备批发；电子产品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,研究和试验发展,-,-
